unix_time,datetime,temp_c,arm_clock_hz,throttled
1785057031,2026-07-26 17:10:31,83.2,1726417920,0x80008
1785057033,2026-07-26 17:10:33,82.3,1677427712,0x80008
1785057035,2026-07-26 17:10:35,81.8,1726417920,0x80008
1785057037,2026-07-26 17:10:37,82.3,1726417920,0x80008
1785057039,2026-07-26 17:10:39,83.2,1677427712,0x80008
1785057041,2026-07-26 17:10:41,81.8,1726417920,0x80008
1785057043,2026-07-26 17:10:43,82.7,1726417920,0x80008
1785057045,2026-07-26 17:10:45,82.3,1800404352,0x80000
1785057048,2026-07-26 17:10:48,82.3,1775408256,0x80008
1785057050,2026-07-26 17:10:50,82.7,1775408256,0x80008
1785057052,2026-07-26 17:10:52,82.7,1726417920,0x80008
1785057054,2026-07-26 17:10:54,82.3,1726417920,0x80008
1785057056,2026-07-26 17:10:56,83.2,1677427712,0x80008
1785057058,2026-07-26 17:10:58,82.3,1775460992,0x80008
1785057060,2026-07-26 17:11:00,82.7,1775460992,0x80008
1785057062,2026-07-26 17:11:02,83.2,1726417920,0x80008
1785057064,2026-07-26 17:11:04,82.3,1775460992,0x80008
1785057066,2026-07-26 17:11:06,83.2,1775460992,0x80000
1785057068,2026-07-26 17:11:08,81.8,1800404352,0x80008
1785057070,2026-07-26 17:11:10,82.3,1775460992,0x80008
1785057072,2026-07-26 17:11:12,82.3,1800457088,0x80000
1785057074,2026-07-26 17:11:14,81.3,1726417920,0x80008
1785057076,2026-07-26 17:11:16,82.3,1800457088,0x80000
1785057078,2026-07-26 17:11:18,82.7,1677374976,0x80008
1785057080,2026-07-26 17:11:20,82.3,1726417920,0x80008
1785057082,2026-07-26 17:11:22,82.7,1800457088,0x80000
1785057084,2026-07-26 17:11:24,81.8,1677427712,0x80008
1785057086,2026-07-26 17:11:26,82.7,1726417920,0x80008
1785057088,2026-07-26 17:11:28,82.7,1726417920,0x80008
1785057090,2026-07-26 17:11:30,81.8,1800404352,0x80000
1785057092,2026-07-26 17:11:32,82.7,1726417920,0x80008
1785057094,2026-07-26 17:11:34,81.8,1726417920,0x80000
1785057096,2026-07-26 17:11:36,83.2,1800457088,0x80000
1785057099,2026-07-26 17:11:39,83.2,1677427712,0x80008
1785057101,2026-07-26 17:11:41,81.8,1726417920,0x80008
1785057103,2026-07-26 17:11:43,82.3,1775408256,0x80008
1785057105,2026-07-26 17:11:45,82.3,1726417920,0x80000
1785057107,2026-07-26 17:11:47,82.3,1775460992,0x80008
1785057109,2026-07-26 17:11:49,82.3,1775408256,0x80008
1785057111,2026-07-26 17:11:51,83.2,1800404352,0x80000
1785057113,2026-07-26 17:11:53,81.8,1726417920,0x80000
1785057115,2026-07-26 17:11:55,81.8,1726417920,0x80008
1785057117,2026-07-26 17:11:57,82.7,1800457088,0x80000
1785057119,2026-07-26 17:11:59,81.8,1726417920,0x80008
1785057121,2026-07-26 17:12:01,83.2,1726417920,0x80008
1785057123,2026-07-26 17:12:03,82.7,1677374976,0x80008
1785057125,2026-07-26 17:12:05,82.3,1629439488,0x80008
1785057127,2026-07-26 17:12:07,78.4,1800457088,0x80000
1785057129,2026-07-26 17:12:09,75.4,1800457088,0x80000
1785057131,2026-07-26 17:12:11,72.0,600169920,0x80000
1785057133,2026-07-26 17:12:13,71.1,1800457088,0x80000
1785057135,2026-07-26 17:12:15,69.6,1800457088,0x80000
1785057137,2026-07-26 17:12:17,67.6,700207040,0x80000
1785057139,2026-07-26 17:12:19,66.7,600169920,0x80000
1785057141,2026-07-26 17:12:21,66.7,700154304,0x80000
1785057143,2026-07-26 17:12:23,65.7,1200287104,0x80000
1785057145,2026-07-26 17:12:25,64.7,600117184,0x80000
1785057147,2026-07-26 17:12:27,63.7,600117184,0x80000
1785057149,2026-07-26 17:12:29,62.8,1800457088,0x80000
1785057151,2026-07-26 17:12:31,62.8,1800457088,0x80000
1785057153,2026-07-26 17:12:33,63.7,1800404352,0x80000
1785057155,2026-07-26 17:12:35,63.7,600117184,0x80000
1785057158,2026-07-26 17:12:38,62.8,1800404352,0x80000
1785057160,2026-07-26 17:12:40,61.8,1800404352,0x80000
1785057162,2026-07-26 17:12:42,62.3,600117184,0x80000
1785057164,2026-07-26 17:12:44,62.8,1800457088,0x80000
1785057166,2026-07-26 17:12:46,61.8,1800457088,0x80000
1785057168,2026-07-26 17:12:48,61.3,600117184,0x80000
1785057170,2026-07-26 17:12:50,61.3,1800457088,0x80000
1785057172,2026-07-26 17:12:52,60.8,1800457088,0x80000
1785057174,2026-07-26 17:12:54,60.3,600169920,0x80000
1785057176,2026-07-26 17:12:56,59.4,600117184,0x80000
1785057178,2026-07-26 17:12:58,58.9,600117184,0x80000
1785057180,2026-07-26 17:13:00,58.9,600169920,0x80000
1785057182,2026-07-26 17:13:02,59.9,1200287104,0x80000
1785057184,2026-07-26 17:13:04,58.4,600169920,0x80000
