timestamp,elapsed_s,cpu_usage_percent,soc_temp_c,avg_frequency_mhz,memory_usage_percent
2026-07-27 22:44:21,1165,1.0,51.1,600.0,18.8
2026-07-27 22:44:22,1166,3.2,50.1,600.0,18.8
2026-07-27 22:44:23,1167,3.9,50.6,1100.0,18.8
2026-07-27 22:44:24,1168,1.4,50.6,700.0,18.7
2026-07-27 22:44:25,1169,3.5,50.6,700.0,18.7
2026-07-27 22:44:26,1170,3.3,50.6,1800.0,18.8
2026-07-27 22:44:27,1171,0.7,50.6,1800.0,18.7
2026-07-27 22:44:29,1173,1.4,50.6,1800.0,18.8
2026-07-27 22:44:30,1174,1.7,50.6,1800.0,18.8
2026-07-27 22:44:31,1175,1.2,51.1,1800.0,18.8
2026-07-27 22:44:32,1176,1.4,51.1,700.0,18.7
2026-07-27 22:44:33,1177,3.0,51.1,1800.0,18.7
2026-07-27 22:44:34,1178,1.2,50.1,1800.0,18.7
2026-07-27 22:44:35,1179,1.9,50.6,1800.0,18.7
2026-07-27 22:44:36,1180,1.2,50.1,1800.0,18.7
2026-07-27 22:44:37,1181,1.2,50.6,1800.0,18.7
2026-07-27 22:44:38,1182,1.2,51.6,600.0,18.7
2026-07-27 22:44:39,1183,3.7,50.1,600.0,18.7
2026-07-27 22:44:40,1184,3.7,51.1,1200.0,18.8
2026-07-27 22:44:41,1185,1.9,49.7,700.0,18.8
2026-07-27 22:44:42,1186,3.2,49.2,800.0,18.7
2026-07-27 22:44:43,1187,2.8,49.7,825.0,18.7
2026-07-27 22:44:44,1188,1.7,50.1,700.0,18.7
2026-07-27 22:44:45,1189,3.3,49.7,600.0,18.7
2026-07-27 22:44:46,1190,3.5,49.7,800.0,18.7
2026-07-27 22:44:48,1192,2.1,48.7,600.0,18.7
2026-07-27 22:44:49,1193,3.2,50.1,600.0,18.7
2026-07-27 22:44:50,1194,3.2,49.7,600.0,18.7
2026-07-27 22:44:51,1195,2.5,48.7,600.0,18.7
2026-07-27 22:44:52,1196,3.5,50.1,1800.0,18.7
2026-07-27 22:44:53,1197,1.2,49.2,1800.0,18.7
2026-07-27 22:44:54,1198,1.4,50.1,1800.0,18.7
2026-07-27 22:44:55,1199,0.7,49.2,1800.0,18.7
2026-07-27 22:44:56,1200,1.4,50.1,600.0,18.7
2026-07-27 22:44:57,1201,3.5,49.7,950.0,18.7
2026-07-27 22:44:58,1202,1.4,49.7,600.0,18.7
2026-07-27 22:44:59,1203,3.5,51.1,700.0,18.7
2026-07-27 22:45:00,1204,3.5,49.7,1800.0,18.7
2026-07-27 22:45:01,1205,1.0,50.6,1800.0,18.7
2026-07-27 22:45:02,1206,1.9,50.1,1800.0,18.7
2026-07-27 22:45:03,1207,1.4,50.6,1800.0,18.7
2026-07-27 22:45:04,1208,1.2,50.6,1800.0,18.7
2026-07-27 22:45:06,1210,1.7,50.1,600.0,18.7
2026-07-27 22:45:07,1211,3.5,49.2,600.0,18.7
2026-07-27 22:45:08,1212,2.3,49.7,600.0,18.8
2026-07-27 22:45:09,1213,3.5,50.6,1800.0,18.8
2026-07-27 22:45:10,1214,1.2,50.1,1800.0,18.7
2026-07-27 22:45:11,1215,1.4,50.6,1800.0,18.7
2026-07-27 22:45:12,1216,0.7,50.1,1800.0,18.8
2026-07-27 22:45:13,1217,1.7,50.1,675.0,18.7
2026-07-27 22:45:14,1218,3.3,49.2,1200.0,18.7
2026-07-27 22:45:15,1219,1.4,48.7,600.0,18.7
2026-07-27 22:45:16,1220,3.2,50.1,600.0,18.7
2026-07-27 22:45:17,1221,3.7,49.2,700.0,18.7
2026-07-27 22:45:18,1222,2.1,49.7,600.0,18.7
2026-07-27 22:45:19,1223,3.2,49.7,700.0,18.7
2026-07-27 22:45:20,1224,3.5,49.2,600.0,18.7
2026-07-27 22:45:22,1226,2.1,49.2,600.0,18.7
2026-07-27 22:45:23,1227,3.2,49.2,1800.0,18.7
2026-07-27 22:45:24,1228,1.2,48.2,1800.0,18.7
2026-07-27 22:45:25,1229,1.7,50.6,1800.0,18.7
2026-07-27 22:45:26,1230,1.0,49.7,1800.0,18.7
2026-07-27 22:45:27,1231,1.2,48.7,600.0,18.7
2026-07-27 22:45:28,1232,3.5,48.7,700.0,18.7
2026-07-27 22:45:29,1233,1.9,48.7,600.0,18.7
2026-07-27 22:45:30,1234,3.0,50.1,1800.0,18.7
2026-07-27 22:45:31,1235,1.9,50.1,1800.0,18.7
2026-07-27 22:45:32,1236,1.0,50.1,1800.0,18.7
2026-07-27 22:45:33,1237,1.2,50.1,1800.0,18.7
2026-07-27 22:45:34,1238,1.2,49.7,1800.0,18.7
2026-07-27 22:45:35,1239,1.0,49.2,600.0,18.7
2026-07-27 22:45:36,1240,3.5,49.7,750.0,18.7
2026-07-27 22:45:37,1241,3.3,49.2,600.0,18.7
2026-07-27 22:45:38,1242,2.3,49.2,800.0,18.7
2026-07-27 22:45:40,1244,2.8,48.2,600.0,18.7
2026-07-27 22:45:41,1245,3.2,49.7,750.0,18.7
2026-07-27 22:45:42,1246,3.5,48.7,800.0,18.7
2026-07-27 22:45:43,1247,1.7,48.2,600.0,18.7
2026-07-27 22:45:44,1248,3.2,49.2,1800.0,18.8
2026-07-27 22:45:45,1249,1.4,48.2,1800.0,18.8
2026-07-27 22:45:46,1250,1.0,50.1,1800.0,18.8
2026-07-27 22:45:47,1251,1.4,48.7,1800.0,18.8
2026-07-27 22:45:48,1252,1.4,50.1,1800.0,18.8
2026-07-27 22:45:49,1253,1.2,48.7,600.0,18.7
2026-07-27 22:45:50,1254,3.5,49.2,600.0,18.7
2026-07-27 22:45:51,1255,3.5,50.1,600.0,18.7
2026-07-27 22:45:52,1256,2.3,49.2,600.0,18.7
2026-07-27 22:45:53,1257,3.0,49.2,600.0,18.7
2026-07-27 22:45:54,1258,3.7,48.7,600.0,18.7
2026-07-27 22:45:55,1259,3.5,47.7,1200.0,18.7
2026-07-27 22:45:57,1261,1.2,49.2,600.0,18.7
2026-07-27 22:45:58,1262,3.7,49.2,1800.0,18.7
2026-07-27 22:45:59,1263,1.2,49.2,1800.0,18.7
2026-07-27 22:46:00,1264,1.0,49.2,1800.0,18.7
2026-07-27 22:46:01,1265,1.2,49.2,1800.0,18.7
2026-07-27 22:46:02,1266,1.4,48.7,1800.0,18.7
2026-07-27 22:46:03,1267,1.2,49.7,600.0,18.7
