unix_time,datetime,total_percent,cpu0_percent,cpu1_percent,cpu2_percent,cpu3_percent
1785058102,2026-07-26 17:28:22,1.1,1.5,1.5,1.5,0.5
1785058104,2026-07-26 17:28:24,1.5,1.5,1.0,1.5,1.5
1785058106,2026-07-26 17:28:26,3.0,2.0,0.5,5.5,4.0
1785058108,2026-07-26 17:28:28,1.3,1.5,1.5,0.5,1.0
1785058110,2026-07-26 17:28:30,1.3,1.5,1.5,1.0,2.0
1785058112,2026-07-26 17:28:32,2.5,0.5,2.5,2.0,3.5
1785058114,2026-07-26 17:28:34,3.3,2.5,3.0,3.0,5.5
1785058116,2026-07-26 17:28:36,3.6,2.5,3.0,4.5,5.0
1785058118,2026-07-26 17:28:38,2.9,2.0,2.5,2.0,5.0
1785058120,2026-07-26 17:28:40,2.9,3.0,2.5,1.0,6.0
1785058122,2026-07-26 17:28:42,1.4,0.5,0.0,1.0,2.5
1785058124,2026-07-26 17:28:44,1.4,2.5,0.5,1.5,2.0
1785058126,2026-07-26 17:28:46,3.0,3.5,2.0,3.0,3.0
1785058128,2026-07-26 17:28:48,1.4,0.0,1.5,1.5,1.5
1785058130,2026-07-26 17:28:50,1.1,1.0,1.5,1.0,1.5
1785058132,2026-07-26 17:28:52,2.6,2.0,3.0,2.5,3.0
1785058134,2026-07-26 17:28:54,2.9,2.5,3.5,4.5,1.5
1785058136,2026-07-26 17:28:56,3.1,4.0,2.5,5.6,1.5
1785058138,2026-07-26 17:28:58,2.5,1.5,2.5,3.5,0.5
1785058140,2026-07-26 17:29:00,3.5,3.0,4.5,6.0,1.5
1785058142,2026-07-26 17:29:02,2.8,5.0,1.5,2.0,2.5
1785058144,2026-07-26 17:29:04,2.4,2.5,1.5,4.0,1.5
1785058146,2026-07-26 17:29:06,3.3,4.0,3.5,5.0,1.0
1785058148,2026-07-26 17:29:08,2.0,0.5,4.0,2.0,1.0
1785058150,2026-07-26 17:29:10,2.8,3.0,3.0,4.0,0.0
1785058152,2026-07-26 17:29:12,3.4,3.5,4.0,5.0,1.5
1785058154,2026-07-26 17:29:14,2.4,2.0,1.5,3.5,2.5
1785058156,2026-07-26 17:29:16,2.9,1.0,3.0,4.5,2.5
1785058158,2026-07-26 17:29:18,1.1,0.5,0.5,2.0,2.5
1785058160,2026-07-26 17:29:20,1.4,1.0,0.5,2.0,2.0
1785058162,2026-07-26 17:29:22,3.0,4.0,1.0,6.5,1.0
1785058164,2026-07-26 17:29:24,3.1,4.0,2.5,2.5,2.5
1785058166,2026-07-26 17:29:26,2.8,3.5,1.0,4.0,3.5
1785058168,2026-07-26 17:29:28,1.3,2.0,1.0,1.5,0.0
1785058170,2026-07-26 17:29:30,1.9,1.5,1.0,1.5,2.5
1785058172,2026-07-26 17:29:32,3.0,2.0,2.0,3.5,5.5
1785058174,2026-07-26 17:29:34,1.0,1.0,0.0,0.5,2.0
